Code,Account,Courses Taken,Pass Rate,Number of Audits
Dealer 198,geopeak energy llc,5,0,1
Dealer 199,geoscape solar,10,1,5
Dealer 200,get solarize,94,0.29787234,47
Dealer 201,go solar electric llc,3,0,1
Dealer 202,go solar/green ny llc,11,1,1
Dealer 203,goggin energy,2,0,1
Dealer 204,energyone renewables,0,0,1
Dealer 205,golden energy inc,1,0,1
Dealer 206,enlight energy llc,0,0,15
Dealer 207,golden state solar inc,2,0,1
Dealer 208,golden west energy,1,0,1
Dealer 209,good energy renewables inc,4,1,1
Dealer 210,good energy solutions,2,0,1
Dealer 211,goosebumps inc,1,0,1
Dealer 212,gosimplesolar.com by semper fidelis construction inc,1,0,1
Dealer 213,evoke solar inc,0,0,3
Dealer 214,granite expo & company inc,3,0,1
Dealer 215,excel home solar,0,0,18
Dealer 216,grassroots solar inc,11,0,1
Dealer 217,green choice solar,4,0,1
Dealer 218,green convergence,784,0.734693878,49
Dealer 219,green energy group,6,0,1
Dealer 220,green energy products llc,4,0,1
Dealer 221,green power installers,2,0,1
Dealer 222,green power professionals,1,0,1
Dealer 223,fusion solar energy llc,0,0,9
Dealer 224,green stream solar + electric,2,0,1
Dealer 225,green street,4,0,1
Dealer 226,green team li,8,0.5,2
Dealer 227,green tech solutions inc,4,0,1
Dealer 228,greenlogic llc,9,0,1
Dealer 229,greenmind energy llc,1,0,1
Dealer 230,grid alternatives,5,0,1
Dealer 231,"halco, renewable energy division",9,0,1
Dealer 232,hamilton solar,3,0,1
Dealer 233,harmon electric inc,8,0,1
Dealer 234,hawaii pv partners llc,2,0,1
Dealer 235,global solar electric,0,0,1
Dealer 236,"heat shed, a geogenix company",10,0,1
Dealer 237,heliopower inc,4,0,1
Dealer 238,heliotek corporation,2,0,1
Dealer 239,herca solar,8,0,1
Dealer 240,gold rush energy solutions,0,0,1
Dealer 241,heritage solar inc,6,0,1
Dealer 242,hes solar,620,0.870967742,31
Dealer 243,hesolar,2,0,1
Dealer 244,high noon solar & energy products,4,0,1
Dealer 245,hi-power solar llc,11,0,1
Dealer 246,home energy systems inc,6,0,1
Dealer 247,"home networks, electric & solar inc",4,0,1
Dealer 248,honey electric solar inc,1,0,1
Dealer 249,honey's air & solar,24,0.833333333,6
Dealer 250,hooked on solar,760,0.878947368,190
Dealer 251,horizon energy systems,2,0,1
Dealer 252,hot purple energy,4,0,1
Dealer 253,hpm solar inc,3,0,1
Dealer 254,hudson solar,17,0,1
Dealer 255,green house solar,0,0,19
Dealer 256,hunt electric corp,1,0,1
Dealer 257,independent power systems,13,0,2
